budget_total,days,travelers,month,travel_mode,road_option,primary_circuit,transport_type,scope,bppd,tier,pace,label
619012,7,5,4,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,17686.06,LUX,NORMAL,PLAN_HUNZA_KKH_LONG
1538691,20,2,8,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,38467.28,LUX,RELAXED,PLAN_LOOP_KKH
1276693,10,5,7,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,25533.86,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1776611,21,5,7,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,16920.1,LUX,RELAXED,PLAN_LOOP_KKH
258193,16,2,2,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,8068.53,MID,RELAXED,PLAN_SKARDU_KKH_LONG
3178563,15,5,8,ROAD,BABUSAR,SKARDU_SIDE,OWN,SINGLE,42380.84,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
876031,10,7,2,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,12514.73,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
251127,12,2,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,10463.62,MID,RELAXED,PLAN_LOOP_KKH
458554,5,6,9,ROAD,BABUSAR,HUNZA_SIDE,OWN,SINGLE,15285.13,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
112193,6,2,12,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,9349.42,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
332970,20,1,9,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,16648.5,LUX,RELAXED,PLAN_LOOP_KKH
217203,5,5,9,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,8688.12,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
114635,4,3,2,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9552.92,MID,FAST,PLAN_HUNZA_KKH_SHORT
399322,6,4,1,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,16638.42,LUX,NORMAL,PLAN_SKARDU_AIR
360388,5,1,8,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,72077.6,LUX,NORMAL,PLAN_HUNZA_AIR
205184,3,7,12,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9770.67,MID,FAST,PLAN_HUNZA_KKH_SHORT
807444,16,4,4,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,12616.31,LUX,RELAXED,PLAN_HUNZA_AIR
619151,6,2,6,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,51595.92,LUX,NORMAL,PLAN_HUNZA_AIR
605109,8,3,6,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,25212.88,LUX,NORMAL,PLAN_SKARDU_KKH_SHORT
303620,4,3,11,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,25301.67,LUX,FAST,PLAN_SKARDU_AIR
1072752,16,5,11,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,13409.4,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
360584,4,4,12,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,22536.5,LUX,FAST,PLAN_SKARDU_AIR
567226,7,2,8,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,40516.14,LUX,NORMAL,PLAN_HUNZA_AIR
109796,6,3,10,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,6099.78,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
145772,4,2,5,ROAD,BABUSAR,HUNZA_SIDE,OWN,SINGLE,18221.5,LUX,FAST,PLAN_HUNZA_KKH_SHORT
2387439,11,6,5,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,36173.32,LUX,RELAXED,PLAN_SKARDU_AIR
967327,21,5,12,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,9212.64,MID,RELAXED,PLAN_LOOP_KKH
738885,8,6,6,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,15393.44,LUX,NORMAL,PLAN_SKARDU_KKH_SHORT
902883,18,3,3,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,16720.06,LUX,RELAXED,PLAN_LOOP_KKH
351221,7,1,5,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,50174.43,LUX,NORMAL,PLAN_HUNZA_KKH_LONG
595470,21,2,5,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,14177.86,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
648785,12,2,10,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,27032.71,LUX,RELAXED,PLAN_SKARDU_AIR
119177,5,1,1,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,23835.4,LUX,NORMAL,PLAN_SKARDU_KKH_SHORT
1359800,18,7,9,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,10792.06,MID,RELAXED,PLAN_LOOP_KKH
4744721,20,6,6,ROAD,BABUSAR,SKARDU_SIDE,OWN,SINGLE,39539.34,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
62933,4,1,9,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,15733.25,LUX,FAST,PLAN_HUNZA_KKH_SHORT
633127,15,4,1,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,10552.12,MID,RELAXED,PLAN_SKARDU_AIR
1132786,20,6,2,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9439.88,MID,RELAXED,PLAN_HUNZA_KKH_LONG
739639,8,7,9,ROAD,BABUSAR,SKARDU_SIDE,OWN,LOOP,13207.84,LUX,NORMAL,PLAN_SKARDU_KKH_SHORT
61665,5,2,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,6166.5,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
213619,3,5,3,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,14241.27,LUX,FAST,PLAN_HUNZA_KKH_SHORT
436865,9,2,1,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,24270.28,LUX,RELAXED,PLAN_HUNZA_AIR
462367,11,3,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,14011.12,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
213660,6,3,7,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,11870.0,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
434671,11,3,9,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,13171.85,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
32228,4,1,6,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,8057.0,MID,FAST,PLAN_HUNZA_KKH_SHORT
255330,4,3,10,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,21277.5,LUX,FAST,PLAN_SKARDU_KKH_SHORT
228593,4,7,7,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,8164.04,MID,FAST,PLAN_HUNZA_KKH_SHORT
2437002,17,7,6,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,20479.01,LUX,RELAXED,PLAN_LOOP_KKH
425747,14,1,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,30410.5,LUX,RELAXED,PLAN_HUNZA_AIR
2523685,13,4,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,48532.4,LUX,RELAXED,PLAN_HUNZA_AIR
2027125,14,7,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,20684.95,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
116602,11,1,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,10600.18,MID,RELAXED,PLAN_SKARDU_KKH_LONG
1165970,13,7,11,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,12812.86,LUX,RELAXED,PLAN_HUNZA_AIR
2283374,16,6,10,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,23785.15,LUX,RELAXED,PLAN_SKARDU_AIR
305185,5,5,10,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,12207.4,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
420796,6,5,10,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,14026.53,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
1935413,13,7,9,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,21268.27,LUX,RELAXED,PLAN_LOOP_KKH
837202,7,4,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,29900.07,LUX,NORMAL,PLAN_HUNZA_AIR
609836,20,2,12,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,15245.9,LUX,RELAXED,PLAN_LOOP_KKH
558026,16,1,12,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,34876.62,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1568372,10,5,4,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,31367.44,LUX,RELAXED,PLAN_HUNZA_AIR
219392,12,1,10,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,18282.67,LUX,RELAXED,PLAN_SKARDU_AIR
1007102,13,4,11,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,19367.35,LUX,RELAXED,PLAN_SKARDU_AIR
236073,9,1,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,26230.33,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
259899,5,6,6,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,8663.3,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
1155565,6,7,8,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,27513.45,LUX,NORMAL,PLAN_HUNZA_AIR
739524,19,1,8,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,38922.32,LUX,RELAXED,PLAN_LOOP_KKH
236738,12,1,1,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,19728.17,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
476457,13,2,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,18325.27,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
754923,15,2,12,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,25164.1,LUX,RELAXED,PLAN_SKARDU_AIR
543857,5,3,4,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,36257.13,LUX,NORMAL,PLAN_SKARDU_AIR
921305,17,1,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,54194.41,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
2112771,20,7,7,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,15091.22,LUX,RELAXED,PLAN_LOOP_KKH
85105,3,3,7,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,9456.11,MID,FAST,PLAN_HUNZA_KKH_SHORT
527929,17,1,6,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,31054.65,LUX,RELAXED,PLAN_LOOP_KKH
387253,12,4,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,8067.77,MID,RELAXED,PLAN_SKARDU_KKH_LONG
363670,9,2,7,ROAD,BABUSAR,SKARDU_SIDE,PUBLIC,SINGLE,20203.89,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
1434247,15,3,4,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,31872.16,LUX,RELAXED,PLAN_HUNZA_AIR
350589,5,6,2,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,11686.3,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
593128,21,3,2,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,9414.73,MID,RELAXED,PLAN_SKARDU_KKH_LONG
769776,13,6,12,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,9868.92,MID,RELAXED,PLAN_LOOP_KKH
608083,10,5,10,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,12161.66,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1421880,11,5,7,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,25852.36,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
686057,10,4,1,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,17151.42,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1324681,9,4,6,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,36796.69,LUX,RELAXED,PLAN_HUNZA_AIR
895566,11,2,3,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,40707.55,LUX,RELAXED,PLAN_HUNZA_AIR
269918,15,2,2,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,8997.27,MID,RELAXED,PLAN_SKARDU_KKH_LONG
453655,9,2,3,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,25203.06,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
